RecipeName,KeyIngredients
Oat Latte,Coffee
Oat Latte,Oat Milk
Red Velvet cake,Egg
Tomato Soup,Tomato
Noodle Soup,Noodles
Chicken Fried Rice,Chicken
Chicken Fried Rice,Rice
Banana Pancakes,Banana
Dal Makhni,Dal
Dal Makhni,Rajma
One-pot Cheeseburger Pasta,Beef
One-pot Cheeseburger Pasta,Pasta
Lasagna Flatbread,Egg
Lasagna Flatbread,Cheese
Lasagna Flatbread,flatbread
Lasagna Flatbread,pasta
Lasagna Flatbread,marinara sauce
Butter chicken,Chicken
